"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",3031.57894736842,0,2,7,0.222222222222222,5,30,0.142857142857143,9,56,0.138461538461538,10,72,0.121951219512195,11,109,0.0916666666666667,13,119,0.0984848484848485,15,136,0.0993377483443709,16,175,0.0837696335078534,19,194,0.0892018779342723,22,209,0.0952380952380952,34,252,0.118881118881119,44,290,0.131736526946108,64,340,0.158415841584158,81,408,0.165644171779141,103,466,0.181019332161687,118,527,0.182945736434109,124,546,0.185074626865672
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",302.222222222222,0,4,2,0.666666666666667,5,11,0.3125,8,19,0.296296296296296,9,22,0.290322580645161,15,29,0.340909090909091,18,34,0.346153846153846,19,37,0.339285714285714,21,50,0.295774647887324,23,57,0.2875,23,60,0.27710843373494,30,86,0.258620689655172,40,109,0.268456375838926,45,143,0.23936170212766,51,185,0.216101694915254,61,223,0.214788732394366,66,263,0.200607902735562,67,276,0.19533527696793
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",260.31746031746,1,0,4,0,8,16,0.333333333333333,12,29,0.292682926829268,14,33,0.297872340425532,17,50,0.253731343283582,20,55,0.266666666666667,23,57,0.2875,25,62,0.28735632183908,31,70,0.306930693069307,31,75,0.292452830188679,36,96,0.272727272727273,44,122,0.265060240963855,53,156,0.253588516746411,59,206,0.222641509433962,70,257,0.214067278287462,78,304,0.204188481675393,79,324,0.196029776674938
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",352.380952380952,0,2,5,0.285714285714286,7,17,0.291666666666667,12,29,0.292682926829268,19,45,0.296875,27,78,0.257142857142857,29,80,0.26605504587156,32,93,0.256,39,125,0.23780487804878,47,138,0.254054054054054,49,146,0.251282051282051,66,222,0.229166666666667,79,264,0.230320699708455,87,322,0.212713936430318,103,374,0.215932914046122,115,474,0.195246179966044,124,547,0.184798807749627,124,568,0.179190751445087
"7749","79792086","79792086-2012-10-25",100,10,2012-10-25,"HA1",2012,"F","NotAdult",100,1,4,7,0.363636363636364,7,17,0.291666666666667,7,20,0.259259259259259,7,31,0.184210526315789,8,46,0.148148148148148,9,49,0.155172413793103,10,58,0.147058823529412,11,70,0.135802469135802,12,75,0.137931034482759,13,77,0.144444444444444,21,98,0.176470588235294,32,125,0.203821656050955,46,162,0.221153846153846,58,215,0.212454212454212,72,275,0.207492795389049,87,349,0.19954128440367,96,410,0.189723320158103
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",400,0,4,3,0.571428571428571,8,18,0.307692307692308,11,32,0.255813953488372,14,38,0.269230769230769,22,49,0.309859154929577,26,58,0.30952380952381,29,64,0.311827956989247,34,82,0.293103448275862,38,90,0.296875,38,95,0.285714285714286,49,129,0.275280898876405,63,162,0.28,73,202,0.265454545454545,82,250,0.246987951807229,94,300,0.238578680203046,100,358,0.218340611353712,102,378,0.2125
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",73.6842105263158,1,1,4,0.2,2,13,0.133333333333333,3,13,0.1875,3,19,0.136363636363636,4,26,0.133333333333333,6,33,0.153846153846154,10,42,0.192307692307692,13,49,0.209677419354839,17,56,0.232876712328767,18,60,0.230769230769231,22,90,0.196428571428571,28,115,0.195804195804196,37,139,0.210227272727273,46,164,0.219047619047619,49,190,0.205020920502092,51,222,0.186813186813187,55,247,0.182119205298013
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",51.2820512820513,1,0,1,0,1,5,0.166666666666667,2,9,0.181818181818182,5,17,0.227272727272727,6,33,0.153846153846154,6,35,0.146341463414634,8,36,0.181818181818182,8,40,0.166666666666667,10,44,0.185185185185185,10,48,0.172413793103448,14,65,0.177215189873418,18,88,0.169811320754717,25,110,0.185185185185185,32,153,0.172972972972973,42,189,0.181818181818182,45,205,0.18,47,209,0.18359375
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",7880,0,0,0,NA,2,10,0.166666666666667,3,19,0.136363636363636,4,28,0.125,5,53,0.0862068965517241,6,60,0.0909090909090909,6,67,0.0821917808219178,9,82,0.0989010989010989,10,92,0.0980392156862745,10,97,0.0934579439252336,15,112,0.118110236220472,18,129,0.122448979591837,26,150,0.147727272727273,32,180,0.150943396226415,41,201,0.169421487603306,47,211,0.182170542635659,47,211,0.182170542635659
"7961","79797884","79797884-2012-11-21",100,90,2012-11-21,"HA1",2012,"M","Adult",930.612244897959,0,2,9,0.181818181818182,6,19,0.24,9,29,0.236842105263158,11,40,0.215686274509804,16,61,0.207792207792208,18,65,0.216867469879518,22,76,0.224489795918367,27,87,0.236842105263158,28,92,0.233333333333333,28,98,0.222222222222222,48,134,0.263736263736264,58,169,0.255506607929515,70,209,0.25089605734767,85,269,0.240112994350282,91,348,0.207289293849658,109,418,0.206831119544592,120,472,0.202702702702703
