"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7893","79796354","79796354-2012-08-28",10,0,2012-08-28,"HA1",2012,"M","Adult",1,0,0,2,0,0,10,0,0,10,0,1,11,0.0833333333333333,1,15,0.0625,1,16,0.0588235294117647,1,17,0.0555555555555556,1,17,0.0555555555555556,1,19,0.05,1,20,0.0476190476190476,1,26,0.037037037037037,2,37,0.0512820512820513,2,43,0.0444444444444444,3,53,0.0535714285714286,3,58,0.0491803278688525,3,66,0.0434782608695652,3,76,0.0379746835443038
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",1,1,0,0,NA,1,2,0.333333333333333,1,4,0.2,1,10,0.0909090909090909,2,18,0.1,2,20,0.0909090909090909,2,23,0.08,2,25,0.0740740740740741,2,27,0.0689655172413793,2,29,0.0645161290322581,2,39,0.0487804878048781,3,51,0.0555555555555556,5,68,0.0684931506849315,8,95,0.0776699029126214,8,116,0.0645161290322581,8,125,0.0601503759398496,9,128,0.0656934306569343
"7895","79796354","79796354-2012-09-25",10,20,2012-09-25,"HA1",2012,"M","Adult",1,1,1,1,0.5,1,14,0.0666666666666667,2,17,0.105263157894737,3,25,0.107142857142857,5,31,0.138888888888889,5,33,0.131578947368421,5,35,0.125,5,38,0.116279069767442,5,44,0.102040816326531,5,45,0.1,5,62,0.0746268656716418,6,71,0.0779220779220779,7,83,0.0777777777777778,9,101,0.0818181818181818,9,129,0.0652173913043478,11,152,0.0674846625766871,14,163,0.0790960451977401
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",1,0,0,0,NA,0,4,0,1,10,0.0909090909090909,1,12,0.0769230769230769,2,29,0.0645161290322581,2,32,0.0588235294117647,2,35,0.0540540540540541,2,41,0.0465116279069767,2,46,0.0416666666666667,3,48,0.0588235294117647,3,61,0.046875,4,70,0.0540540540540541,5,84,0.0561797752808989,6,101,0.0560747663551402,7,118,0.056,9,129,0.0652173913043478,9,129,0.0652173913043478
"7926","79797359","79797359-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",1,0,0,0,NA,0,6,0,0,10,0,0,14,0,0,23,0,0,25,0,0,29,0,1,34,0.0285714285714286,1,39,0.025,1,41,0.0238095238095238,4,66,0.0571428571428571,4,87,0.043956043956044,6,95,0.0594059405940594,9,111,0.075,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478
"7941","79797793","79797793-2012-09-28",0,10,2012-09-28,"HA1",2012,"F","Adult",0,0,0,1,0,0,11,0,2,16,0.111111111111111,3,18,0.142857142857143,3,23,0.115384615384615,3,24,0.111111111111111,4,25,0.137931034482759,5,30,0.142857142857143,6,34,0.15,6,35,0.146341463414634,6,48,0.111111111111111,6,58,0.09375,7,71,0.0897435897435897,8,90,0.0816326530612245,10,111,0.0826446280991736,10,140,0.0666666666666667,12,161,0.069364161849711
"7943","79797793","79797793-2012-11-20",0,10,2012-11-20,"HA1",2012,"F","Adult",1,0,0,3,0,2,15,0.117647058823529,4,22,0.153846153846154,5,26,0.161290322580645,5,33,0.131578947368421,5,34,0.128205128205128,6,37,0.13953488372093,7,43,0.14,8,48,0.142857142857143,8,49,0.140350877192982,8,66,0.108108108108108,9,86,0.0947368421052632,11,104,0.0956521739130435,15,131,0.102739726027397,19,166,0.102702702702703,22,207,0.0960698689956332,27,236,0.102661596958175
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",1,0,0,0,NA,0,3,0,0,6,0,0,12,0,0,18,0,2,20,0.0909090909090909,2,22,0.0833333333333333,2,25,0.0740740740740741,2,31,0.0606060606060606,2,36,0.0526315789473684,3,52,0.0545454545454545,4,60,0.0625,4,69,0.0547945205479452,5,77,0.0609756097560976,5,92,0.0515463917525773,5,95,0.05,5,95,0.05
"7960","79797884","79797884-2012-10-24",30,80,2012-10-24,"HA1",2012,"M","Adult",0,0,0,0,NA,0,6,0,1,9,0.1,1,26,0.037037037037037,3,47,0.06,3,53,0.0535714285714286,3,59,0.0483870967741935,5,73,0.0641025641025641,5,89,0.0531914893617021,5,90,0.0526315789473684,14,117,0.106870229007634,19,138,0.121019108280255,24,173,0.121827411167513,31,202,0.133047210300429,32,227,0.123552123552124,32,241,0.117216117216117,32,242,0.116788321167883
"7962","79797893","79797893-2012-08-30",0,30,2012-08-30,"HA1",2012,"M","Adult",0,0,0,0,NA,0,5,0,1,8,0.111111111111111,1,9,0.1,1,18,0.0526315789473684,1,19,0.05,1,21,0.0454545454545455,1,26,0.037037037037037,2,32,0.0588235294117647,2,33,0.0571428571428571,2,42,0.0454545454545455,3,49,0.0576923076923077,3,59,0.0483870967741935,4,73,0.051948051948052,4,83,0.0459770114942529,5,97,0.0490196078431373,7,107,0.0614035087719298
"7978","84587833","84587833-2012-09-11",80,60,2012-09-11,"HA1",2012,"F","Adult",0,0,0,0,NA,0,2,0,0,7,0,0,12,0,1,16,0.0588235294117647,1,24,0.04,2,27,0.0689655172413793,3,31,0.0882352941176471,4,39,0.0930232558139535,6,41,0.127659574468085,6,61,0.0895522388059701,6,75,0.0740740740740741,6,87,0.0645161290322581,7,106,0.0619469026548673,9,125,0.0671641791044776,9,129,0.0652173913043478,9,129,0.0652173913043478
