"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","MHV","BartAny","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4082","66865371","66865371-2012-06-19",10,10,2012-06-19,"HA1",2012,"M","Adult",1,1,0,2,0,1,2,0.333333333333333,1,3,0.25,1,3,0.25,1,3,0.25,1,3,0.25,1,3,0.25,1,4,0.2,2,4,0.333333333333333,2,4,0.333333333333333,2,6,0.25,3,6,0.333333333333333,4,6,0.4,6,8,0.428571428571429,6,8,0.428571428571429,6,9,0.4,6,10,0.375
"4085","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,3,0,0,3,0,1,4,0.2,2,4,0.333333333333333,5,6,0.454545454545455,5,7,0.416666666666667,5,7,0.416666666666667,5,8,0.384615384615385,7,10,0.411764705882353,7,10,0.411764705882353,7,10,0.411764705882353
"4086","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,1,4,0.2,2,4,0.333333333333333,3,7,0.3,6,7,0.461538461538462,6,7,0.461538461538462,7,10,0.411764705882353,7,10,0.411764705882353,7,10,0.411764705882353,7,10,0.411764705882353
"4089","66883112","66883112-2012-06-19",80,100,2012-06-19,"HA1",2012,"F","Adult",0,1,0,0,NA,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,3,0.25,1,3,0.25,1,4,0.2,5,6,0.454545454545455,5,7,0.416666666666667,6,7,0.461538461538462,6,7,0.461538461538462
"4090","66878865","66878865-2012-06-19",80,80,2012-06-19,"HA1",2012,"M","Adult",0,1,0,0,NA,0,0,NA,0,0,NA,1,0,1,1,1,0.5,1,2,0.333333333333333,1,2,0.333333333333333,1,2,0.333333333333333,1,2,0.333333333333333,1,2,0.333333333333333,1,3,0.25,1,6,0.142857142857143,4,6,0.4,6,7,0.461538461538462,6,7,0.461538461538462,6,10,0.375,7,10,0.411764705882353
"4092","67259597","67259597-2012-06-19",100,30,2012-06-19,"HA1",2012,"F","Adult",0,1,0,0,NA,0,0,NA,0,0,NA,0,1,0,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,2,2,0.5,2,2,0.5,2,3,0.4,3,5,0.375,4,6,0.4,5,9,0.357142857142857,7,10,0.411764705882353
"4094","49847790","49847790-2012-06-20",10,100,2012-06-20,"HA1",2012,"F","Adult",0,1,0,0,NA,1,0,1,1,0,1,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,3,2,0.6,3,5,0.375,5,10,0.333333333333333,7,11,0.388888888888889,9,14,0.391304347826087,12,15,0.444444444444444,12,15,0.444444444444444
"4096","67010314","67010314-2012-06-21",10,70,2012-06-21,"HA1",2012,"M","Adult",0,1,0,0,NA,1,0,1,2,0,1,3,0,1,3,0,1,3,1,0.75,4,2,0.666666666666667,4,4,0.5,5,5,0.5,5,5,0.5,5,8,0.384615384615385,7,13,0.35,9,14,0.391304347826087,11,14,0.44,11,15,0.423076923076923,15,15,0.5,15,15,0.5
"4099","66811012","66811012-2012-06-21",90,70,2012-06-21,"HA1",2012,"F","Adult",1,1,0,0,NA,0,0,NA,2,0,1,2,0,1,3,0,1,4,0,1,4,0,1,5,2,0.714285714285714,5,3,0.625,5,3,0.625,6,5,0.545454545454545,7,6,0.538461538461538,8,8,0.5,9,9,0.5,12,10,0.545454545454545,13,14,0.481481481481481,15,15,0.5
"4155","49811771","49811771-2012-07-03",20,20,2012-07-03,"HA1",2012,"F","Adult",1,1,0,0,NA,0,1,0,1,3,0.25,2,5,0.285714285714286,4,6,0.4,4,8,0.333333333333333,4,8,0.333333333333333,4,9,0.307692307692308,4,9,0.307692307692308,6,9,0.4,6,9,0.4,8,11,0.421052631578947,9,13,0.409090909090909,11,13,0.458333333333333,15,14,0.517241379310345,17,16,0.515151515151515,18,16,0.529411764705882
"4158","49847790","49847790-2012-07-03",20,70,2012-07-03,"HA1",2012,"F","Adult",0,1,0,0,NA,2,0,1,3,0,1,3,0,1,4,1,0.8,4,1,0.8,4,2,0.666666666666667,6,5,0.545454545454545,6,7,0.461538461538462,6,7,0.461538461538462,6,9,0.4,8,12,0.4,13,15,0.464285714285714,14,16,0.466666666666667,17,16,0.515151515151515,18,16,0.529411764705882,18,16,0.529411764705882
"4160","67125021","67125021-2012-07-03",60,30,2012-07-03,"HA1",2012,"M","Adult",1,1,0,0,NA,1,0,1,1,0,1,1,1,0.5,2,2,0.5,2,2,0.5,2,4,0.333333333333333,3,4,0.428571428571429,4,5,0.444444444444444,5,5,0.5,7,6,0.538461538461538,10,11,0.476190476190476,13,13,0.5,17,16,0.515151515151515,18,16,0.529411764705882,18,16,0.529411764705882,18,16,0.529411764705882
"4161","52842550","52842550-2012-07-03",60,60,2012-07-03,"HA1",2012,"F","Adult",1,0,0,2,0,0,2,0,1,2,0.333333333333333,1,2,0.333333333333333,1,3,0.25,2,4,0.333333333333333,2,4,0.333333333333333,3,5,0.375,4,6,0.4,6,6,0.5,10,10,0.5,14,11,0.56,15,13,0.535714285714286,18,16,0.529411764705882,18,16,0.529411764705882,18,16,0.529411764705882,18,16,0.529411764705882
"4162","66878865","66878865-2012-07-03",70,0,2012-07-03,"HA1",2012,"M","Adult",0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,0,1,2,0,1,2,0,1,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,4,2,0.666666666666667,6,2,0.75,7,9,0.4375,10,11,0.476190476190476,12,13,0.48,15,14,0.517241379310345,17,16,0.515151515151515
"4164","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",0,1,0,0,NA,1,0,1,2,0,1,2,0,1,3,0,1,3,0,1,3,1,0.75,4,1,0.8,5,1,0.833333333333333,5,1,0.833333333333333,7,1,0.875,7,4,0.636363636363636,8,7,0.533333333333333,10,13,0.434782608695652,15,14,0.517241379310345,21,16,0.567567567567568,24,17,0.585365853658537
"4167","66810776","66810776-2012-07-04",70,30,2012-07-04,"HA1",2012,"M","Adult",1,0,0,0,NA,1,1,0.5,2,1,0.666666666666667,3,1,0.75,3,1,0.75,4,1,0.8,6,1,0.857142857142857,7,5,0.583333333333333,7,5,0.583333333333333,7,5,0.583333333333333,9,6,0.6,14,8,0.636363636363636,20,13,0.606060606060606,25,16,0.609756097560976,26,17,0.604651162790698,27,17,0.613636363636364,27,17,0.613636363636364
"4169","66815612","66815612-2012-07-04",100,80,2012-07-04,"HA1",2012,"F","Adult",0,1,1,0,1,2,0,1,3,0,1,4,0,1,4,0,1,5,1,0.833333333333333,5,1,0.833333333333333,5,1,0.833333333333333,5,2,0.714285714285714,5,2,0.714285714285714,7,6,0.538461538461538,7,7,0.5,8,7,0.533333333333333,10,10,0.5,17,11,0.607142857142857,21,12,0.636363636363636,22,14,0.611111111111111
"4207","52842550","52842550-2012-07-18",60,90,2012-07-18,"HA1",2012,"F","Adult",1,0,0,0,NA,0,1,0,0,3,0,0,3,0,3,5,0.375,3,5,0.375,3,8,0.272727272727273,3,10,0.230769230769231,4,10,0.285714285714286,5,10,0.333333333333333,14,12,0.538461538461538,19,13,0.59375,21,16,0.567567567567568,24,19,0.558139534883721,27,20,0.574468085106383,32,24,0.571428571428571,34,24,0.586206896551724
"4212","66815612","66815612-2012-07-18",80,90,2012-07-18,"HA1",2012,"F","Adult",0,1,0,0,NA,3,1,0.75,3,3,0.5,4,3,0.571428571428571,7,4,0.636363636363636,8,4,0.666666666666667,8,5,0.615384615384615,8,6,0.571428571428571,8,9,0.470588235294118,8,9,0.470588235294118,9,9,0.5,9,11,0.45,16,15,0.516129032258065,21,16,0.567567567567568,25,18,0.581395348837209,28,21,0.571428571428571,32,24,0.571428571428571
"4213","67259597","67259597-2012-07-18",90,50,2012-07-18,"HA1",2012,"F","Adult",0,1,0,0,NA,0,0,NA,0,0,NA,2,0,1,4,1,0.8,4,3,0.571428571428571,4,3,0.571428571428571,7,6,0.538461538461538,8,6,0.571428571428571,9,6,0.6,11,8,0.578947368421053,17,14,0.548387096774194,18,14,0.5625,22,16,0.578947368421053,29,22,0.568627450980392,32,24,0.571428571428571,34,24,0.586206896551724
"4238","66809820","66809820-2012-07-17",30,50,2012-07-17,"HA1",2012,"F","NotAdult",0,1,0,1,0,1,1,0.5,3,3,0.5,3,3,0.5,4,4,0.5,5,4,0.555555555555556,5,4,0.555555555555556,7,8,0.466666666666667,10,10,0.5,11,10,0.523809523809524,16,16,0.5,21,18,0.538461538461538,23,19,0.547619047619048,28,21,0.571428571428571,29,21,0.58,29,21,0.58,29,21,0.58
"4239","49811771","49811771-2012-07-17",40,20,2012-07-17,"HA1",2012,"F","Adult",1,1,1,0,1,1,0,1,1,0,1,3,1,0.75,5,1,0.833333333333333,5,2,0.714285714285714,6,3,0.666666666666667,8,7,0.533333333333333,10,8,0.555555555555556,11,9,0.55,15,14,0.517241379310345,18,15,0.545454545454545,20,16,0.555555555555556,23,16,0.58974358974359,28,20,0.583333333333333,29,21,0.58,29,21,0.58
"4244","66815612","66815612-2012-07-17",100,70,2012-07-17,"HA1",2012,"F","Adult",0,1,0,0,NA,3,0,1,3,0,1,4,0,1,5,0,1,5,0,1,5,1,0.833333333333333,5,2,0.714285714285714,7,3,0.7,8,3,0.727272727272727,8,9,0.470588235294118,9,10,0.473684210526316,11,11,0.5,15,13,0.535714285714286,18,15,0.545454545454545,22,16,0.578947368421053,26,20,0.565217391304348
"4245","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",1,0,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,1,0.75,4,2,0.666666666666667,5,2,0.714285714285714,5,2,0.714285714285714,7,3,0.7,10,3,0.769230769230769,14,12,0.538461538461538,18,14,0.5625,22,16,0.578947368421053,25,17,0.595238095238095,27,20,0.574468085106383
"4295","67091302","67091302-2012-08-14",10,10,2012-08-14,"HA1",2012,"F","NotAdult",0,0,3,2,0.6,5,3,0.625,9,4,0.692307692307692,10,4,0.714285714285714,10,4,0.714285714285714,10,4,0.714285714285714,10,5,0.666666666666667,12,7,0.631578947368421,13,7,0.65,13,7,0.65,15,10,0.6,20,12,0.625,23,15,0.605263157894737,26,19,0.577777777777778,31,22,0.584905660377358,36,26,0.580645161290323,41,27,0.602941176470588
