"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","H.poly.EPG","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7587","79783063","79783063-2012-09-28",100,60,2012-09-28,"HA1",2012,"F","Adult","0",0,0,0,NA,1,6,0.142857142857143,6,10,0.375,9,19,0.321428571428571,11,26,0.297297297297297,12,30,0.285714285714286,16,41,0.280701754385965,17,50,0.253731343283582,20,57,0.25974025974026,21,65,0.244186046511628,32,99,0.244274809160305,43,120,0.263803680981595,47,144,0.246073298429319,51,173,0.227678571428571,59,215,0.215328467153285,69,265,0.206586826347305,76,302,0.201058201058201
"7589","79783063","79783063-2012-12-06",100,90,2012-12-06,"HA1",2012,"F","Adult","17.2413793103448",0,2,12,0.142857142857143,7,25,0.21875,10,37,0.212765957446809,12,50,0.193548387096774,17,75,0.184782608695652,19,80,0.191919191919192,24,93,0.205128205128205,29,109,0.210144927536232,30,116,0.205479452054795,30,123,0.196078431372549,50,165,0.232558139534884,60,203,0.228136882129278,72,247,0.225705329153605,87,316,0.215880893300248,93,407,0.186,111,484,0.186554621848739,122,547,0.182361733931241
"7590","79783063","79783063-2012-12-19",100,90,2012-12-19,"HA1",2012,"F","Adult","3.03030303030303",0,2,13,0.133333333333333,9,28,0.243243243243243,12,40,0.230769230769231,14,53,0.208955223880597,19,79,0.193877551020408,21,84,0.2,26,98,0.209677419354839,31,114,0.213793103448276,32,121,0.209150326797386,32,131,0.196319018404908,52,174,0.230088495575221,62,213,0.225454545454545,74,261,0.22089552238806,89,332,0.211401425178147,96,427,0.183556405353728,115,511,0.18370607028754,126,576,0.179487179487179
"7591","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult","0",0,0,3,0,1,14,0.0666666666666667,2,21,0.0869565217391304,5,33,0.131578947368421,6,48,0.111111111111111,6,58,0.09375,7,71,0.0897435897435897,11,91,0.107843137254902,13,104,0.111111111111111,13,119,0.0984848484848485,24,158,0.131868131868132,28,183,0.132701421800948,41,212,0.162055335968379,47,239,0.164335664335664,60,270,0.181818181818182,69,307,0.183510638297872,78,338,0.1875
"7609","79784299","79784299-2012-09-28",80,70,2012-09-28,"HA1",2012,"F","NotAdult","0",1,0,2,0,4,12,0.25,7,20,0.259259259259259,10,28,0.263157894736842,20,43,0.317460317460317,23,49,0.319444444444444,24,57,0.296296296296296,27,67,0.287234042553192,33,76,0.302752293577982,34,78,0.303571428571429,42,119,0.260869565217391,49,155,0.240196078431373,58,195,0.229249011857708,68,242,0.219354838709677,74,283,0.207282913165266,76,306,0.198952879581152,76,313,0.195372750642674
"7622","79785369","79785369-2012-10-10",30,10,2012-10-10,"HA1",2012,"M","NotAdult","0",0,1,2,0.333333333333333,3,18,0.142857142857143,3,30,0.0909090909090909,4,39,0.0930232558139535,7,56,0.111111111111111,8,64,0.111111111111111,8,75,0.0963855421686747,13,99,0.116071428571429,15,113,0.1171875,15,119,0.111940298507463,22,151,0.127167630057803,31,187,0.142201834862385,43,217,0.165384615384615,55,266,0.171339563862928,73,303,0.194148936170213,91,350,0.206349206349206,94,362,0.206140350877193
"7627","79785829","79785829-2012-12-04",0,0,2012-12-04,"HA1",2012,"M","Adult","0",0,0,11,0,1,29,0.0333333333333333,1,42,0.0232558139534884,2,55,0.0350877192982456,4,72,0.0526315789473684,4,80,0.0476190476190476,4,100,0.0384615384615385,8,111,0.0672268907563025,9,118,0.0708661417322835,9,126,0.0666666666666667,19,157,0.107954545454545,19,197,0.087962962962963,26,247,0.0952380952380952,38,298,0.113095238095238,53,348,0.13216957605985,75,413,0.153688524590164,96,505,0.15973377703827
"7659","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult","0",1,0,2,0,0,7,0,0,15,0,0,22,0,1,28,0.0344827586206897,2,32,0.0588235294117647,2,36,0.0526315789473684,4,48,0.0769230769230769,5,55,0.0833333333333333,5,60,0.0769230769230769,6,76,0.0731707317073171,9,97,0.0849056603773585,14,110,0.112903225806452,16,128,0.111111111111111,20,143,0.122699386503067,27,160,0.144385026737968,29,167,0.147959183673469
"7660","79786360","79786360-2012-08-15",20,0,2012-08-15,"HA1",2012,"F","NotAdult","0",0,0,1,0,1,7,0.125,1,15,0.0625,1,23,0.0416666666666667,1,28,0.0344827586206897,1,35,0.0277777777777778,1,36,0.027027027027027,2,39,0.0487804878048781,2,41,0.0465116279069767,3,43,0.0652173913043478,5,55,0.0833333333333333,5,70,0.0666666666666667,8,78,0.0930232558139535,12,89,0.118811881188119,14,106,0.116666666666667,15,121,0.110294117647059,18,133,0.119205298013245
"7661","79786360","79786360-2012-09-25",10,10,2012-09-25,"HA1",2012,"F","Adult","0",0,0,6,0,2,21,0.0869565217391304,2,39,0.0487804878048781,4,45,0.0816326530612245,4,56,0.0666666666666667,5,58,0.0793650793650794,6,62,0.0882352941176471,7,71,0.0897435897435897,7,76,0.0843373493975904,7,78,0.0823529411764706,11,105,0.0948275862068965,17,125,0.119718309859155,21,145,0.126506024096386,27,165,0.140625,36,192,0.157894736842105,48,235,0.169611307420495,54,249,0.178217821782178
