"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",5719.14893617021,"0",0,4,0,4,19,0.173913043478261,5,39,0.113636363636364,7,57,0.109375,12,95,0.11214953271028,16,109,0.128,19,119,0.13768115942029,25,138,0.153374233128834,26,161,0.13903743315508,28,164,0.145833333333333,42,222,0.159090909090909,56,281,0.166172106824926,72,336,0.176470588235294,84,406,0.171428571428571,100,469,0.175746924428823,104,504,0.171052631578947,106,512,0.171521035598705
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",3.2258064516129,"1",0,1,0,2,14,0.125,3,16,0.157894736842105,6,35,0.146341463414634,8,48,0.142857142857143,10,51,0.163934426229508,11,64,0.146666666666667,14,82,0.145833333333333,14,90,0.134615384615385,14,102,0.120689655172414,21,136,0.133757961783439,26,177,0.12807881773399,35,221,0.13671875,48,268,0.151898734177215,62,338,0.155,85,415,0.17,95,465,0.169642857142857
"7609","79784299","79784299-2012-09-28",80,70,2012-09-28,"HA1",2012,"F","NotAdult",638.095238095238,"0",0,2,0,4,12,0.25,5,22,0.185185185185185,6,32,0.157894736842105,9,54,0.142857142857143,11,61,0.152777777777778,14,67,0.172839506172839,19,75,0.202127659574468,20,89,0.18348623853211,22,90,0.196428571428571,35,126,0.217391304347826,44,160,0.215686274509804,55,198,0.217391304347826,64,246,0.206451612903226,73,284,0.204481792717087,76,306,0.198952879581152,77,312,0.197943444730077
"7659","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",300,"0",0,2,0,1,6,0.142857142857143,2,13,0.133333333333333,3,19,0.136363636363636,5,24,0.172413793103448,5,29,0.147058823529412,5,33,0.131578947368421,8,44,0.153846153846154,10,50,0.166666666666667,14,51,0.215384615384615,16,66,0.195121951219512,27,79,0.254716981132075,32,92,0.258064516129032,36,108,0.25,43,120,0.263803680981595,50,137,0.267379679144385,52,144,0.26530612244898
"7662","79786360","79786360-2012-09-11",30,30,2012-09-11,"HA1",2012,"F","Adult",14.2857142857143,"0",0,1,0,0,6,0,2,15,0.117647058823529,6,24,0.2,9,41,0.18,10,49,0.169491525423729,11,58,0.159420289855072,15,70,0.176470588235294,21,80,0.207920792079208,23,81,0.221153846153846,34,104,0.246376811594203,37,125,0.228395061728395,45,147,0.234375,57,180,0.240506329113924,61,193,0.240157480314961,61,197,0.236434108527132,61,197,0.236434108527132
"7670","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",511.111111111112,"0",0,6,0,5,11,0.3125,6,17,0.260869565217391,9,27,0.25,12,34,0.260869565217391,13,35,0.270833333333333,14,45,0.23728813559322,14,50,0.21875,14,55,0.202898550724638,15,62,0.194805194805195,25,98,0.203252032520325,37,132,0.218934911242604,40,163,0.197044334975369,51,185,0.216101694915254,57,220,0.205776173285199,66,242,0.214285714285714,69,269,0.20414201183432
"7671","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",61800,"0",0,1,0,0,11,0,5,15,0.25,7,21,0.25,12,40,0.230769230769231,13,53,0.196969696969697,18,65,0.216867469879518,22,84,0.207547169811321,30,104,0.223880597014925,31,113,0.215277777777778,47,184,0.203463203463203,61,233,0.207482993197279,70,274,0.203488372093023,81,319,0.2025,82,331,0.198547215496368,83,337,0.197619047619048,83,337,0.197619047619048
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",38.0952380952381,"0",0,4,0,5,19,0.208333333333333,6,35,0.146341463414634,6,41,0.127659574468085,10,57,0.149253731343284,12,63,0.16,12,68,0.15,14,73,0.160919540229885,15,86,0.148514851485149,17,89,0.160377358490566,26,106,0.196969696969697,32,134,0.192771084337349,44,165,0.210526315789474,57,208,0.215094339622642,69,258,0.211009174311927,78,304,0.204188481675393,81,322,0.200992555831266
"7749","79792086","79792086-2012-10-25",100,10,2012-10-25,"HA1",2012,"F","NotAdult",40,"0",3,8,0.272727272727273,5,19,0.208333333333333,6,21,0.222222222222222,8,30,0.210526315789474,11,43,0.203703703703704,13,45,0.224137931034483,15,53,0.220588235294118,15,66,0.185185185185185,17,70,0.195402298850575,18,72,0.2,23,96,0.19327731092437,30,127,0.191082802547771,36,172,0.173076923076923,44,229,0.161172161172161,58,289,0.167146974063401,69,367,0.158256880733945,85,421,0.16798418972332
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",21.0526315789474,"0",1,4,0.2,3,12,0.2,3,13,0.1875,6,16,0.272727272727273,8,22,0.266666666666667,11,28,0.282051282051282,14,38,0.269230769230769,17,45,0.274193548387097,20,53,0.273972602739726,21,57,0.269230769230769,33,79,0.294642857142857,38,105,0.265734265734266,43,133,0.244318181818182,48,162,0.228571428571429,54,185,0.225941422594142,60,213,0.21978021978022,65,237,0.21523178807947
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",61.5384615384615,"1",0,1,0,2,4,0.333333333333333,4,7,0.363636363636364,6,16,0.272727272727273,9,30,0.230769230769231,9,32,0.219512195121951,9,35,0.204545454545455,11,37,0.229166666666667,11,43,0.203703703703704,12,46,0.206896551724138,15,64,0.189873417721519,21,85,0.19811320754717,27,108,0.2,40,145,0.216216216216216,54,177,0.233766233766234,59,191,0.236,60,196,0.234375
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult",540,"0",0,0,NA,3,0,1,4,3,0.571428571428571,5,10,0.333333333333333,9,20,0.310344827586207,11,24,0.314285714285714,11,26,0.297297297297297,14,31,0.311111111111111,15,40,0.272727272727273,16,44,0.266666666666667,23,64,0.264367816091954,34,81,0.295652173913043,41,92,0.308270676691729,46,112,0.291139240506329,50,135,0.27027027027027,52,144,0.26530612244898,52,144,0.26530612244898
"7980","84587833","84587833-2012-08-29",90,60,2012-08-29,"HA1",2012,"F","Adult",31.25,"0",0,0,NA,0,6,0,0,11,0,0,15,0,3,22,0.12,3,22,0.12,3,28,0.0967741935483871,7,40,0.148936170212766,8,43,0.156862745098039,9,45,0.166666666666667,17,68,0.2,20,78,0.204081632653061,27,93,0.225,33,107,0.235714285714286,45,133,0.252808988764045,52,152,0.254901960784314,53,159,0.25
