"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","MHV","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4735","67089554","67089554-2012-10-09",30,60,2012-10-09,"HA1",2012,"F","Adult",0,0,0,0,NA,1,5,0.166666666666667,1,8,0.111111111111111,1,9,0.1,1,16,0.0588235294117647,1,24,0.04,4,26,0.133333333333333,4,32,0.111111111111111,5,40,0.111111111111111,8,45,0.150943396226415,20,77,0.206185567010309,26,93,0.218487394957983,34,109,0.237762237762238,37,128,0.224242424242424,39,132,0.228070175438596,39,132,0.228070175438596,39,132,0.228070175438596
"4736","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",1,0,0,1,0,0,3,0,0,5,0,0,6,0,6,11,0.352941176470588,10,21,0.32258064516129,10,24,0.294117647058824,11,34,0.244444444444444,13,42,0.236363636363636,13,46,0.220338983050847,19,72,0.208791208791209,27,83,0.245454545454545,31,98,0.24031007751938,34,112,0.232876712328767,37,130,0.221556886227545,39,132,0.228070175438596,39,132,0.228070175438596
"4751","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult",0,0,1,3,0.25,1,10,0.0909090909090909,1,16,0.0588235294117647,1,17,0.0555555555555556,1,21,0.0454545454545455,1,22,0.0434782608695652,1,23,0.0416666666666667,4,26,0.133333333333333,4,30,0.117647058823529,4,33,0.108108108108108,5,43,0.104166666666667,8,52,0.133333333333333,13,68,0.160493827160494,16,86,0.156862745098039,25,104,0.193798449612403,34,119,0.222222222222222,38,136,0.218390804597701
"4754","79778567","79778567-2012-10-10",10,0,2012-10-10,"HA1",2012,"F","Adult",1,0,1,3,0.25,3,10,0.230769230769231,4,12,0.25,4,16,0.2,5,20,0.2,5,21,0.192307692307692,7,21,0.25,7,23,0.233333333333333,8,25,0.242424242424242,8,30,0.210526315789474,8,39,0.170212765957447,12,51,0.19047619047619,13,62,0.173333333333333,19,73,0.206521739130435,20,88,0.185185185185185,24,111,0.177777777777778,32,127,0.20125786163522
"4755","79785369","79785369-2012-10-10",30,10,2012-10-10,"HA1",2012,"M","NotAdult",0,0,0,1,0,1,3,0.25,4,5,0.444444444444444,5,11,0.3125,6,21,0.222222222222222,7,21,0.25,7,24,0.225806451612903,8,35,0.186046511627907,10,40,0.2,11,42,0.207547169811321,14,59,0.191780821917808,19,69,0.215909090909091,22,78,0.22,23,99,0.188524590163934,31,119,0.206666666666667,39,147,0.209677419354839,41,152,0.212435233160622
"4764","79639272","79639272-2012-10-23",0,80,2012-10-23,"HA1",2012,"M","Adult",0,0,0,1,0,1,10,0.0909090909090909,1,14,0.0666666666666667,1,17,0.0555555555555556,1,23,0.0416666666666667,1,30,0.032258064516129,1,31,0.03125,1,32,0.0303030303030303,4,38,0.0952380952380952,4,42,0.0869565217391304,5,55,0.0833333333333333,7,64,0.0985915492957746,14,78,0.152173913043478,23,102,0.184,30,122,0.197368421052632,35,141,0.198863636363636,39,156,0.2
"4777","66843623","66843623-2012-10-24",100,70,2012-10-24,"HA1",2012,"M","Adult",0,0,1,4,0.2,4,12,0.25,7,14,0.333333333333333,9,18,0.333333333333333,9,23,0.28125,9,28,0.243243243243243,9,32,0.219512195121951,10,35,0.222222222222222,12,41,0.226415094339623,12,44,0.214285714285714,25,62,0.28735632183908,30,73,0.29126213592233,30,87,0.256410256410256,36,104,0.257142857142857,36,129,0.218181818181818,40,149,0.211640211640212,42,173,0.195348837209302
"4778","79776883","79776883-2012-10-24",100,90,2012-10-24,"HA1",2012,"M","Adult",1,0,2,3,0.4,3,9,0.25,5,12,0.294117647058824,6,18,0.25,8,25,0.242424242424242,8,25,0.242424242424242,9,28,0.243243243243243,12,31,0.27906976744186,12,35,0.25531914893617,14,36,0.28,19,51,0.271428571428571,22,60,0.268292682926829,26,72,0.26530612244898,33,85,0.279661016949153,34,113,0.231292517006803,37,141,0.207865168539326,40,157,0.203045685279188
"4785","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",0,0,0,3,0,3,12,0.2,4,18,0.181818181818182,5,27,0.15625,7,38,0.155555555555556,7,41,0.145833333333333,8,42,0.16,8,45,0.150943396226415,10,48,0.172413793103448,10,50,0.166666666666667,10,69,0.126582278481013,12,84,0.125,21,100,0.173553719008264,23,126,0.154362416107383,32,148,0.177777777777778,41,176,0.188940092165899,44,190,0.188034188034188
"4787","79772013","79772013-2012-10-25",30,50,2012-10-25,"HA1",2012,"M","Adult",0,1,1,2,0.333333333333333,1,6,0.142857142857143,1,15,0.0625,1,17,0.0555555555555556,1,25,0.0384615384615385,2,27,0.0689655172413793,2,32,0.0588235294117647,7,41,0.145833333333333,9,55,0.140625,11,59,0.157142857142857,22,105,0.173228346456693,29,144,0.167630057803468,38,160,0.191919191919192,42,186,0.184210526315789,46,195,0.190871369294606,46,195,0.190871369294606,46,195,0.190871369294606
