"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7358","79771081","79771081-2012-08-29",40,100,2012-08-29,"HA1",2012,"F","NotAdult",0,0,0,0,NA,0,5,0,1,5,0.166666666666667,3,7,0.3,4,10,0.285714285714286,4,11,0.266666666666667,4,17,0.19047619047619,5,25,0.166666666666667,7,29,0.194444444444444,9,35,0.204545454545455,15,66,0.185185185185185,17,89,0.160377358490566,22,107,0.170542635658915,22,124,0.150684931506849,23,146,0.136094674556213,27,173,0.135,32,194,0.141592920353982
"7369","79772013","79772013-2012-10-25",30,50,2012-10-25,"HA1",2012,"M","Adult",0,0,0,5,0,3,27,0.1,8,43,0.156862745098039,9,52,0.147540983606557,18,76,0.191489361702128,23,93,0.198275862068966,24,105,0.186046511627907,31,139,0.182352941176471,39,176,0.181395348837209,40,188,0.175438596491228,57,306,0.15702479338843,70,406,0.147058823529412,78,453,0.146892655367232,88,515,0.145936981757877,94,536,0.149206349206349,94,536,0.149206349206349,94,536,0.149206349206349
"7370","79772013","79772013-2012-11-07",30,50,2012-11-07,"HA1",2012,"M","Adult",0,0,0,6,0,4,28,0.125,9,45,0.166666666666667,10,54,0.15625,21,79,0.21,27,99,0.214285714285714,28,111,0.201438848920863,35,147,0.192307692307692,44,187,0.19047619047619,46,200,0.186991869918699,64,327,0.163682864450128,78,434,0.15234375,86,482,0.151408450704225,96,549,0.148837209302326,103,573,0.152366863905325,103,573,0.152366863905325,103,573,0.152366863905325
"7371","79772013","79772013-2012-11-21",0,90,2012-11-21,"HA1",2012,"M","Adult",0,0,1,8,0.111111111111111,4,34,0.105263157894737,9,48,0.157894736842105,12,53,0.184615384615385,18,71,0.202247191011236,20,77,0.206185567010309,22,89,0.198198198198198,29,110,0.20863309352518,32,119,0.211920529801325,34,126,0.2125,42,176,0.192660550458716,48,224,0.176470588235294,59,284,0.17201166180758,67,359,0.157276995305164,81,449,0.152830188679245,94,535,0.149443561208267,103,583,0.150145772594752
"7372","79772013","79772013-2012-12-04",10,20,2012-12-04,"HA1",2012,"M","Adult",0,0,0,10,0,4,53,0.0701754385964912,9,83,0.0978260869565217,12,99,0.108108108108108,14,134,0.0945945945945946,15,152,0.0898203592814371,16,162,0.0898876404494382,19,180,0.0954773869346734,20,192,0.0943396226415094,22,202,0.0982142857142857,40,258,0.134228187919463,55,298,0.155807365439093,64,353,0.15347721822542,76,427,0.151093439363817,94,527,0.151368760064412,115,619,0.156675749318801,121,653,0.156330749354005
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",1,1,0,0,NA,2,6,0.25,3,9,0.25,4,14,0.222222222222222,4,21,0.16,4,27,0.129032258064516,6,33,0.153846153846154,9,44,0.169811320754717,9,54,0.142857142857143,10,58,0.147058823529412,17,108,0.136,28,172,0.14,30,189,0.136986301369863,32,194,0.141592920353982,32,194,0.141592920353982,32,194,0.141592920353982,32,194,0.141592920353982
"7421","79775849","79775849-2012-09-27",90,30,2012-09-27,"HA1",2012,"F","Adult",1,0,0,3,0,2,13,0.133333333333333,4,24,0.142857142857143,5,26,0.161290322580645,9,35,0.204545454545455,10,39,0.204081632653061,10,45,0.181818181818182,12,54,0.181818181818182,13,64,0.168831168831169,13,72,0.152941176470588,17,94,0.153153153153153,20,122,0.140845070422535,25,164,0.132275132275132,33,216,0.132530120481928,44,261,0.144262295081967,58,303,0.160664819944598,60,312,0.161290322580645
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",1,0,1,3,0.25,4,11,0.266666666666667,6,16,0.272727272727273,7,27,0.205882352941176,8,36,0.181818181818182,10,43,0.188679245283019,14,53,0.208955223880597,17,62,0.215189873417722,17,72,0.191011235955056,19,82,0.188118811881188,27,121,0.182432432432432,32,147,0.17877094972067,36,187,0.161434977578475,42,226,0.156716417910448,51,269,0.159375,67,321,0.172680412371134,73,371,0.164414414414414
"7423","79775849","79775849-2012-10-23",100,20,2012-10-23,"HA1",2012,"F","Adult",0,0,1,6,0.142857142857143,5,24,0.172413793103448,7,30,0.189189189189189,9,44,0.169811320754717,10,52,0.161290322580645,10,60,0.142857142857143,11,63,0.148648648648649,12,70,0.146341463414634,14,78,0.152173913043478,15,86,0.148514851485149,21,120,0.148936170212766,31,160,0.162303664921466,37,193,0.160869565217391,44,246,0.151724137931034,54,316,0.145945945945946,63,380,0.142212189616253,78,436,0.151750972762646
"7424","79775849","79775849-2012-11-06",80,60,2012-11-06,"HA1",2012,"F","Adult",1,0,1,4,0.2,2,25,0.0740740740740741,6,44,0.12,10,57,0.149253731343284,15,79,0.159574468085106,19,101,0.158333333333333,22,111,0.165413533834586,27,132,0.169811320754717,34,165,0.170854271356784,37,182,0.168949771689498,48,256,0.157894736842105,61,319,0.160526315789474,75,378,0.165562913907285,94,454,0.171532846715328,101,532,0.15955766192733,102,558,0.154545454545455,102,558,0.154545454545455
