"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7261","79639272","79639272-2012-10-23",0,80,2012-10-23,"HA1",2012,"M","Adult",0,"0",1,4,0.2,2,23,0.08,8,35,0.186046511627907,11,44,0.2,15,57,0.208333333333333,17,66,0.204819277108434,20,66,0.232558139534884,22,70,0.239130434782609,23,89,0.205357142857143,23,96,0.19327731092437,33,134,0.197604790419162,38,168,0.184466019417476,44,215,0.16988416988417,58,273,0.175226586102719,68,317,0.176623376623377,79,364,0.178329571106095,81,398,0.169102296450939
"7263","79639272","79639272-2012-11-20",10,90,2012-11-20,"HA1",2012,"M","Adult",0,"0",4,7,0.363636363636364,6,30,0.166666666666667,9,50,0.152542372881356,15,63,0.192307692307692,18,90,0.166666666666667,20,92,0.178571428571429,23,100,0.186991869918699,28,122,0.186666666666667,28,128,0.179487179487179,28,133,0.173913043478261,45,165,0.214285714285714,49,228,0.176895306859206,59,279,0.174556213017751,73,349,0.172985781990521,89,430,0.171483622350674,102,505,0.168039538714992,104,535,0.162754303599374
"7277","79639579","79639579-2012-08-14",80,100,2012-08-14,"HA1",2012,"F","Adult",1,"0",2,2,0.5,4,7,0.363636363636364,5,8,0.384615384615385,6,11,0.352941176470588,8,12,0.4,9,13,0.409090909090909,9,15,0.375,9,20,0.310344827586207,10,21,0.32258064516129,10,21,0.32258064516129,12,27,0.307692307692308,16,30,0.347826086956522,19,37,0.339285714285714,27,57,0.321428571428571,32,67,0.323232323232323,38,79,0.324786324786325,41,88,0.317829457364341
"7321","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult",0,"0",0,1,0,2,4,0.333333333333333,4,8,0.333333333333333,6,19,0.24,14,38,0.269230769230769,16,57,0.219178082191781,17,67,0.202380952380952,27,91,0.228813559322034,32,110,0.225352112676056,34,119,0.222222222222222,49,176,0.217777777777778,57,218,0.207272727272727,65,250,0.206349206349206,75,288,0.206611570247934,79,332,0.192214111922141,83,337,0.197619047619048,83,337,0.197619047619048
"7322","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult",0,"0",0,1,0,1,5,0.166666666666667,4,13,0.235294117647059,4,14,0.222222222222222,6,22,0.214285714285714,7,24,0.225806451612903,9,28,0.243243243243243,10,39,0.204081632653061,11,45,0.196428571428571,12,52,0.1875,16,71,0.183908045977011,23,90,0.20353982300885,33,111,0.229166666666667,40,137,0.225988700564972,50,169,0.228310502283105,60,193,0.237154150197628,61,197,0.236434108527132
"7328","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult",0,"0",2,5,0.285714285714286,4,35,0.102564102564103,9,57,0.136363636363636,11,71,0.134146341463415,15,98,0.132743362831858,15,113,0.1171875,16,120,0.117647058823529,21,127,0.141891891891892,25,133,0.158227848101266,29,138,0.173652694610778,41,183,0.183035714285714,49,214,0.186311787072243,60,254,0.191082802547771,68,306,0.181818181818182,83,373,0.182017543859649,94,446,0.174074074074074,98,471,0.172231985940246
"7345","79770603","79770603-2012-08-29",30,90,2012-08-29,"HA1",2012,"M","NotAdult",0,"0",0,0,NA,1,3,0.25,2,3,0.4,6,7,0.461538461538462,11,13,0.458333333333333,14,15,0.482758620689655,16,17,0.484848484848485,18,25,0.418604651162791,21,27,0.4375,25,29,0.462962962962963,30,50,0.375,36,69,0.342857142857143,37,90,0.291338582677165,43,113,0.275641025641026,46,128,0.264367816091954,52,153,0.253658536585366,53,159,0.25
"7346","79770603","79770603-2012-09-11",40,100,2012-09-11,"HA1",2012,"M","Adult",0,"0",1,2,0.333333333333333,4,7,0.363636363636364,4,10,0.285714285714286,5,15,0.25,8,16,0.333333333333333,8,18,0.307692307692308,10,23,0.303030303030303,15,29,0.340909090909091,17,34,0.333333333333333,21,38,0.355932203389831,31,70,0.306930693069307,37,90,0.291338582677165,42,111,0.274509803921569,45,126,0.263157894736842,50,147,0.253807106598985,56,172,0.245614035087719,60,197,0.233463035019455
"7358","79771081","79771081-2012-08-29",40,100,2012-08-29,"HA1",2012,"F","NotAdult",0,"0",0,0,NA,2,3,0.4,2,4,0.333333333333333,3,7,0.3,6,8,0.428571428571429,6,9,0.4,8,13,0.380952380952381,13,17,0.433333333333333,15,21,0.416666666666667,18,24,0.428571428571429,27,50,0.350649350649351,32,67,0.323232323232323,37,83,0.308333333333333,38,97,0.281481481481481,43,113,0.275641025641026,49,137,0.263440860215054,53,159,0.25
"7369","79772013","79772013-2012-10-25",30,50,2012-10-25,"HA1",2012,"M","Adult",0,"1",3,2,0.6,3,23,0.115384615384615,6,41,0.127659574468085,8,48,0.142857142857143,16,71,0.183908045977011,22,86,0.203703703703704,25,93,0.211864406779661,30,124,0.194805194805195,39,157,0.198979591836735,40,169,0.191387559808612,59,274,0.177177177177177,80,357,0.183066361556064,86,406,0.17479674796748,95,464,0.16994633273703,98,484,0.168384879725086,98,484,0.168384879725086,98,484,0.168384879725086
