"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"6257","67089554","67089554-2012-09-25",40,90,2012-09-25,"HA1",2012,"F","Adult",82.2222222222222,1,0,2,0,2,9,0.181818181818182,5,19,0.208333333333333,5,22,0.185185185185185,7,36,0.162790697674419,8,39,0.170212765957447,10,49,0.169491525423729,14,63,0.181818181818182,19,76,0.2,21,86,0.196261682242991,32,133,0.193939393939394,37,165,0.183168316831683,39,198,0.164556962025316,42,224,0.157894736842105,47,257,0.154605263157895,54,290,0.156976744186047,54,291,0.156521739130435
"6396","67123054","67123054-2012-08-02",70,90,2012-08-02,"HA1",2012,"M","Adult",60.8695652173913,0,0,1,0,1,7,0.125,1,14,0.0666666666666667,2,16,0.111111111111111,3,19,0.136363636363636,3,22,0.12,3,25,0.107142857142857,4,30,0.117647058823529,4,32,0.111111111111111,5,33,0.131578947368421,5,44,0.102040816326531,7,58,0.107692307692308,9,78,0.103448275862069,12,92,0.115384615384615,15,106,0.12396694214876,17,125,0.119718309859155,17,130,0.115646258503401
"6397","67123054","67123054-2012-08-16",80,90,2012-08-16,"HA1",2012,"M","Adult",5.55555555555556,0,1,2,0.333333333333333,2,12,0.142857142857143,2,19,0.0952380952380952,2,26,0.0714285714285714,3,38,0.0731707317073171,3,39,0.0714285714285714,4,40,0.0909090909090909,5,42,0.106382978723404,6,44,0.12,7,45,0.134615384615385,8,50,0.137931034482759,9,64,0.123287671232877,13,88,0.128712871287129,17,107,0.137096774193548,22,125,0.149659863945578,24,147,0.140350877192982,25,161,0.134408602150538
"6476","67265276","67265276-2012-11-08",10,30,2012-11-08,"HA1",2012,"F","Adult",10,0,1,8,0.111111111111111,4,31,0.114285714285714,5,64,0.072463768115942,7,80,0.0804597701149425,13,118,0.099236641221374,13,129,0.0915492957746479,16,145,0.0993788819875776,22,180,0.108910891089109,24,202,0.106194690265487,29,214,0.119341563786008,44,254,0.147651006711409,53,297,0.151428571428571,64,356,0.152380952380952,78,438,0.151162790697674,89,503,0.150337837837838,103,574,0.152141802067947,107,598,0.15177304964539
"6563","67287808","67287808-2012-08-15",90,90,2012-08-15,"HA1",2012,"F","NotAdult",9.09090909090909,0,0,0,NA,1,5,0.166666666666667,3,15,0.166666666666667,3,20,0.130434782608696,3,26,0.103448275862069,3,28,0.0967741935483871,3,30,0.0909090909090909,3,32,0.0857142857142857,3,33,0.0833333333333333,4,34,0.105263157894737,8,41,0.163265306122449,8,43,0.156862745098039,9,65,0.121621621621622,13,82,0.136842105263158,16,104,0.133333333333333,19,124,0.132867132867133,20,134,0.12987012987013
"6688","79613616","79613616-2012-10-10",70,50,2012-10-10,"HA1",2012,"F","Adult",13200,0,1,2,0.333333333333333,2,10,0.166666666666667,5,22,0.185185185185185,7,30,0.189189189189189,10,50,0.166666666666667,12,62,0.162162162162162,13,68,0.160493827160494,18,93,0.162162162162162,23,115,0.166666666666667,25,128,0.163398692810458,44,214,0.170542635658915,50,282,0.150602409638554,69,331,0.1725,77,389,0.165236051502146,80,414,0.161943319838057,80,414,0.161943319838057,80,414,0.161943319838057
"6750","79617035","79617035-2012-10-09",100,0,2012-10-09,"HA1",2012,"F","Adult",54857.1428571429,0,0,1,0,3,8,0.272727272727273,4,8,0.333333333333333,5,19,0.208333333333333,5,22,0.185185185185185,6,25,0.193548387096774,8,36,0.181818181818182,9,42,0.176470588235294,9,46,0.163636363636364,10,50,0.166666666666667,13,65,0.166666666666667,16,79,0.168421052631579,20,111,0.152671755725191,28,154,0.153846153846154,35,199,0.14957264957265,47,258,0.154098360655738,54,315,0.146341463414634
"6779","79618812","79618812-2012-08-14",50,40,2012-08-14,"HA1",2012,"M","Adult",13782.8571428571,0,0,1,0,0,2,0,0,7,0,0,9,0,3,18,0.142857142857143,3,22,0.12,3,25,0.107142857142857,3,30,0.0909090909090909,4,44,0.0833333333333333,6,45,0.117647058823529,11,81,0.119565217391304,15,114,0.116279069767442,17,137,0.11038961038961,18,144,0.111111111111111,18,144,0.111111111111111,18,144,0.111111111111111,18,144,0.111111111111111
"6780","79618812","79618812-2012-08-28",90,70,2012-08-28,"HA1",2012,"M","Adult",4400,0,0,3,0,0,7,0,2,15,0.117647058823529,2,19,0.0952380952380952,4,28,0.125,5,31,0.138888888888889,5,33,0.131578947368421,7,41,0.145833333333333,7,48,0.127272727272727,7,50,0.12280701754386,12,67,0.151898734177215,14,77,0.153846153846154,16,97,0.141592920353982,20,120,0.142857142857143,25,143,0.148809523809524,28,166,0.144329896907216,28,177,0.136585365853659
"6782","79618812","79618812-2012-09-25",40,60,2012-09-25,"HA1",2012,"M","Adult",4.65116279069767,0,1,2,0.333333333333333,1,8,0.111111111111111,2,14,0.125,5,23,0.178571428571429,10,41,0.196078431372549,10,48,0.172413793103448,12,56,0.176470588235294,17,75,0.184782608695652,24,86,0.218181818181818,26,99,0.208,38,181,0.17351598173516,45,229,0.164233576642336,48,274,0.149068322981366,54,291,0.156521739130435,54,291,0.156521739130435,54,291,0.156521739130435,54,291,0.156521739130435
