"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","MHV","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4302","66878865","66878865-2012-08-14",70,0,2012-08-14,"HA1",2012,"M","Adult",0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,5,0,0,5,0,0,6,0,1,9,0.1,1,11,0.0833333333333333,1,11,0.0833333333333333,1,14,0.0666666666666667,1,21,0.0454545454545455,2,36,0.0526315789473684,2,44,0.0434782608695652,2,53,0.0363636363636364,2,62,0.03125,3,69,0.0416666666666667
"4303","67125021","67125021-2012-08-14",80,30,2012-08-14,"HA1",2012,"M","Adult",1,1,0,1,0,0,2,0,0,2,0,1,5,0.166666666666667,1,9,0.1,1,11,0.0833333333333333,1,11,0.0833333333333333,1,13,0.0714285714285714,1,17,0.0555555555555556,1,17,0.0555555555555556,1,25,0.0384615384615385,1,33,0.0294117647058824,2,45,0.0425531914893617,3,59,0.0483870967741935,3,68,0.0422535211267606,3,72,0.04,3,73,0.0394736842105263
"4310","66859820","66859820-2012-07-31",0,90,2012-07-31,"HA1",2012,"M","Adult",0,0,0,0,NA,0,2,0,0,4,0,0,4,0,0,6,0,0,7,0,0,7,0,0,8,0,0,10,0,0,11,0,0,15,0,0,20,0,0,27,0,1,32,0.0303030303030303,3,44,0.0638297872340425,3,52,0.0545454545454545,3,55,0.0517241379310345
"4311","49811771","49811771-2012-07-31",10,30,2012-07-31,"HA1",2012,"F","Adult",1,0,0,0,NA,1,2,0.333333333333333,1,7,0.125,1,12,0.0769230769230769,1,14,0.0666666666666667,1,16,0.0588235294117647,1,17,0.0555555555555556,1,23,0.0416666666666667,1,23,0.0416666666666667,1,24,0.04,2,26,0.0714285714285714,2,32,0.0588235294117647,2,38,0.05,2,44,0.0434782608695652,2,50,0.0384615384615385,3,55,0.0517241379310345,3,59,0.0483870967741935
"4315","66878865","66878865-2012-07-31",60,100,2012-07-31,"HA1",2012,"M","Adult",1,0,0,1,0,0,3,0,0,4,0,1,6,0.142857142857143,1,8,0.111111111111111,1,9,0.1,1,11,0.0833333333333333,1,12,0.0769230769230769,1,12,0.0769230769230769,1,16,0.0588235294117647,1,23,0.0416666666666667,1,33,0.0294117647058824,2,35,0.0540540540540541,2,41,0.0465116279069767,2,46,0.0416666666666667,3,50,0.0566037735849057,3,57,0.05
"4316","52842550","52842550-2012-07-31",60,90,2012-07-31,"HA1",2012,"F","Adult",1,0,0,1,0,0,3,0,0,5,0,0,6,0,1,10,0.0909090909090909,1,10,0.0909090909090909,1,13,0.0714285714285714,1,15,0.0625,1,16,0.0588235294117647,1,17,0.0555555555555556,1,29,0.0333333333333333,2,34,0.0555555555555556,2,39,0.0487804878048781,2,45,0.0425531914893617,3,48,0.0588235294117647,3,57,0.05,3,59,0.0483870967741935
"4319","66810776","66810776-2012-07-31",60,30,2012-07-31,"HA1",2012,"M","Adult",1,0,1,0,1,1,2,0.333333333333333,1,2,0.333333333333333,1,3,0.25,1,7,0.125,1,7,0.125,1,10,0.0909090909090909,1,13,0.0714285714285714,1,17,0.0555555555555556,1,18,0.0526315789473684,1,24,0.04,2,37,0.0512820512820513,2,48,0.04,3,56,0.0508474576271186,3,58,0.0491803278688525,3,59,0.0483870967741935,3,59,0.0483870967741935
"4324","66815612","66815612-2012-07-31",100,80,2012-07-31,"HA1",2012,"F","Adult",0,0,0,2,0,0,4,0,0,5,0,0,6,0,0,8,0,1,10,0.0909090909090909,1,10,0.0909090909090909,1,12,0.0769230769230769,1,13,0.0714285714285714,1,13,0.0714285714285714,1,21,0.0454545454545455,1,24,0.04,2,24,0.0769230769230769,2,30,0.0625,2,41,0.0465116279069767,2,46,0.0416666666666667,3,50,0.0566037735849057
"4325","67125021","67125021-2012-07-31",100,10,2012-07-31,"HA1",2012,"M","Adult",1,0,0,0,NA,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,5,0,0,6,0,0,6,0,1,9,0.1,1,10,0.0909090909090909,1,20,0.0476190476190476,1,23,0.0416666666666667,1,35,0.0277777777777778,3,47,0.06,3,53,0.0535714285714286
"4327","67123054","67123054-2012-08-02",70,90,2012-08-02,"HA1",2012,"M","Adult",0,0,0,0,NA,0,4,0,1,9,0.1,1,11,0.0833333333333333,1,13,0.0714285714285714,1,14,0.0666666666666667,1,15,0.0625,1,21,0.0454545454545455,1,22,0.0434782608695652,1,23,0.0416666666666667,1,28,0.0344827586206897,1,37,0.0263157894736842,2,45,0.0425531914893617,2,51,0.0377358490566038,2,59,0.0327868852459016,3,69,0.0416666666666667,3,70,0.0410958904109589
"4331","79610382","79610382-2012-08-16",80,10,2012-08-16,"HA1",2012,"F","Adult",0,0,0,0,NA,0,1,0,0,4,0,1,6,0.142857142857143,1,10,0.0909090909090909,2,12,0.142857142857143,2,12,0.142857142857143,2,13,0.133333333333333,2,13,0.133333333333333,2,15,0.117647058823529,2,22,0.0833333333333333,2,28,0.0666666666666667,2,44,0.0434782608695652,3,59,0.0483870967741935,5,74,0.0632911392405063,5,85,0.0555555555555556,5,89,0.0531914893617021
